city,state,natural_hs,natural_college,foreign_hs,foreign_college
Pharr,Texas,0.76,0.16,0.47,0.23
Plano,Texas,0.97,0.53,0.85,0.68
Richardson,Texas,0.97,0.53,0.79,0.58
Round Rock,Texas,0.95,0.39,0.73,0.44
San Angelo,Texas,0.86,0.23,0.48,0.23
Sugar Land,Texas,0.96,0.51,0.89,0.66
The Woodlands,Texas,0.98,0.59,0.93,0.72
Tyler,Texas,0.92,0.32,0.45,0.33
Waco,Texas,0.85,0.23,0.4,0.3
Wichita Falls,Texas,0.87,0.22,0.68,0.32
Ogden,Utah,0.89,0.2,0.48,0.2
Orem,Utah,0.96,0.38,0.75,0.32
Provo,Utah,0.95,0.43,0.72,0.35
St. George,Utah,0.94,0.29,0.65,0.27
Salt Lake City,Utah,0.93,0.46,0.61,0.45
Sandy,Utah,0.96,0.39,0.87,0.43
West Jordan,Utah,0.93,0.24,0.72,0.29
West Valley City,Utah,0.88,0.14,0.56,0.16
Alexandria,Virginia,0.96,0.71,0.8,0.5
Arlington,Virginia,0.98,0.8,0.8,0.6
Centreville,Virginia,0.99,0.61,0.88,0.55
Chesapeake,Virginia,0.91,0.28,0.87,0.46
Hampton,Virginia,0.9,0.23,0.85,0.39
Lynchburg,Virginia,0.87,0.31,0.88,0.6
Newport News,Virginia,0.9,0.24,0.73,0.32
Norfolk,Virginia,0.87,0.24,0.85,0.43
Portsmouth,Virginia,0.83,0.19,0.8,0.38
Richmond,Virginia,0.84,0.36,0.63,0.45
Roanoke,Virginia,0.86,0.24,0.55,0.35
Suffolk,Virginia,0.87,0.25,0.88,0.46
Virginia Beach,Virginia,0.94,0.34,0.89,0.37
Auburn,Washington,0.92,0.24,0.71,0.27
Bellevue,Washington,0.98,0.58,0.92,0.73
Bellingham,Washington,0.96,0.43,0.7,0.38
Everett,Washington,0.91,0.21,0.73,0.26
Federal Way,Washington,0.94,0.27,0.79,0.29
Kennewick,Washington,0.92,0.24,0.55,0.25
Kent,Washington,0.92,0.26,0.7,0.29
Kirkland,Washington,0.98,0.54,0.92,0.65
Renton,Washington,0.94,0.32,0.78,0.4
Spokane,Washington,0.92,0.29,0.81,0.27
Spokane Valley,Washington,0.92,0.21,0.85,0.26
Tacoma,Washington,0.91,0.27,0.69,0.25
Vancouver,Washington,0.92,0.26,0.75,0.3
Yakima,Washington,0.85,0.21,0.34,0.12
Green Bay,Wisconsin,0.92,0.25,0.44,0.23
Kenosha,Wisconsin,0.91,0.24,0.7,0.28
Madison,Wisconsin,0.97,0.55,0.84,0.69
Racine,Wisconsin,0.85,0.18,0.48,0.21
Statewide,Alabama,0.89,0.35,0.77,0.52
Statewide,Alaska,0.95,0.34,0.77,0.33
Statewide,Arizona,0.93,0.31,0.71,0.35
